name,birthday,nationality
Fernanda Montenegro,1929-10-16,Brasil
Wagner Moura,1976-06-27,Brasil
Taís Araújo,1978-11-25,Brasil
Lázaro Ramos,1978-11-01,Brasil
Alice Braga,1983-04-15,Brasil
Rodrigo Santoro,1975-08-22,Brasil
Sônia Braga,1950-06-08,Brasil
Camila Pitanga,1977-06-14,Brasil
Selton Mello,1972-12-30,Brasil
Marieta Severo,1946-11-02,Brasil
Robert De Niro,1943-08-17,EUA
Meryl Streep,1949-06-22,EUA
Leonardo DiCaprio,1974-11-11,EUA
Tom Hanks,1956-07-09,EUA
Angelina Jolie,1975-06-04,EUA
Scarlett Johansson,1984-11-22,EUA
Brad Pitt,1963-12-18,EUA
Johnny Depp,1963-06-09,EUA
Denzel Washington,1954-12-28,EUA
Jennifer Lawrence,1990-08-15,EUA
